iter	Passed	Remaining
0	1	1497
1	3	1666
2	4	1588
3	6	1519
4	7	1501
5	8	1468
6	10	1428
7	11	1407
8	12	1385
9	13	1369
10	15	1350
11	16	1353
12	18	1401
13	19	1382
14	20	1364
15	21	1342
16	22	1323
17	23	1292
18	24	1281
19	25	1273
20	27	1269
21	28	1259
22	29	1249
23	30	1247
24	32	1258
25	33	1264
26	34	1254
27	36	1250
28	37	1244
29	38	1241
30	39	1238
31	41	1261
32	42	1258
33	44	1253
34	45	1249
35	46	1248
36	48	1256
37	49	1251
38	50	1242
39	51	1236
40	52	1232
41	54	1232
42	55	1227
43	56	1223
44	57	1215
45	58	1206
46	59	1200
47	60	1193
48	61	1190
49	62	1195
50	63	1189
51	64	1182
52	65	1175
53	66	1170
54	67	1164
55	68	1161
56	70	1158
57	71	1153
58	72	1149
59	73	1144
60	74	1139
61	74	1134
62	76	1133
63	77	1138
64	79	1136
65	80	1134
66	81	1133
67	82	1133
68	83	1130
69	84	1127
70	85	1124
71	86	1121
72	87	1117
73	88	1112
74	89	1109
75	91	1108
76	92	1111
77	93	1109
78	94	1103
79	95	1099
80	96	1097
81	97	1095
82	98	1093
83	99	1088
84	100	1084
85	101	1081
86	102	1077
87	103	1075
88	104	1071
89	105	1068
90	107	1070
91	108	1071
92	109	1068
93	110	1065
94	111	1059
95	112	1056
96	113	1053
97	114	1050
98	115	1047
99	116	1044
100	117	1043
101	117	1038
102	118	1035
103	119	1033
104	121	1031
105	122	1033
106	123	1032
107	124	1031
108	125	1029
109	126	1027
110	127	1025
111	128	1022
112	129	1019
113	130	1017
114	131	1014
115	132	1012
116	133	1010
117	134	1008
118	135	1005
119	137	1008
120	138	1008
121	139	1006
122	140	1003
123	141	1001
124	142	998
125	143	996
126	144	992
127	145	989
128	146	987
129	147	985
130	148	983
131	149	981
132	150	979
133	151	978
134	153	981
135	154	979
136	154	974
137	155	972
138	156	971
139	157	968
140	158	966
141	159	964
142	160	963
143	161	961
144	162	959
145	163	957
146	164	955
147	165	953
148	166	953
149	168	954
150	169	952
151	170	950
152	171	948
153	172	947
154	173	945
155	174	943
156	175	941
157	176	939
158	177	938
159	178	936
160	179	934
161	180	932
162	181	932
163	183	935
164	184	933
165	185	931
166	186	928
167	187	926
168	188	924
169	189	923
170	190	921
171	191	919
172	192	918
173	193	917
174	194	915
175	195	913
